CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Num_Interactions_Last30Days,Avg_Response_Time_Min,Call_Resolution_Rate,CLV,Normalized_Response_Score,Engagement_Score,Sentiment_Score,Geography_Germany,Geography_Spain,Gender_Male,Customer_Lifecycle_Stage_At Risk,Customer_Lifecycle_Stage_Dormant,Customer_Lifecycle_Stage_Lead,Customer_Lifecycle_Stage_New,Predicted_Probability,Exited,Customer_Lifecycle_Stage
585,36,7,0.0,2,1,0,94283.09,15,22.0,0.54,0.0,0.045454545454545456,6.225090909090909,-0.1027,False,False,True,False,True,False,False,0.008503367,0,Dormant
525,33,4,131023.76,2,0,0,55072.93,3,32.6,0.87,0.0,0.03067484662576687,1.5541349693251536,0.4215,True,False,True,False,True,False,False,0.07327198,0,Dormant
557,40,4,0.0,2,0,1,105433.53,5,59.7,0.72,0.0,0.01675041876046901,2.2913500837520937,0.4754,False,True,False,True,False,False,False,0.012501108,0,At Risk
639,34,5,139393.19,2,0,0,33950.08,6,54.3,0.56,0.0,0.01841620626151013,2.627683241252303,-0.5267,False,True,True,True,False,False,False,0.022041194,0,At Risk
640,34,3,77826.8,1,1,1,168544.85,6,52.8,0.8,233480.40000000002,0.01893939393939394,2.7237878787878795,-0.4585,False,True,False,False,False,False,False,0.08933592,0,Active
559,34,0,0.0,1,1,0,182988.94,3,26.6,0.8,0.0,0.03759398496240601,1.5275187969924815,-0.5267,False,True,True,False,False,True,False,0.56495154,0,Lead
595,30,9,130682.11,2,1,1,57862.88,12,33.0,0.56,1176138.99,0.030303030303030304,5.030060606060607,0.5719,True,False,True,False,False,False,True,0.026554352,0,New
706,29,6,185544.36,1,1,0,171037.63,9,43.3,0.97,0.0,0.023094688221709007,3.992618937644342,0.5719,True,False,False,True,False,False,False,0.08529851,0,At Risk
505,49,7,80001.23,1,0,0,135180.11,1,22.9,0.76,0.0,0.04366812227074236,0.7127336244541486,-0.5267,False,False,True,False,False,True,False,0.42843333,0,Lead
714,40,0,0.0,2,1,0,62762.12,8,45.5,0.86,0.0,0.02197802197802198,3.5483956043956044,0.4215,False,False,False,False,False,True,False,0.12990068,0,Lead
699,54,3,111009.32,1,1,1,155905.79,9,52.0,0.58,333027.96,0.019230769230769232,3.8358461538461537,-0.5267,True,False,False,False,True,False,False,0.677641,1,Dormant
625,38,7,0.0,1,1,0,164804.02,14,37.4,0.66,0.0,0.026737967914438502,5.869347593582888,-0.5267,False,False,False,False,True,False,False,0.56691223,0,Dormant
721,35,10,0.0,2,1,0,71594.26,4,55.1,0.64,0.0,0.018148820326678767,1.8596297640653359,0.1779,False,False,True,True,False,False,False,0.010113656,0,At Risk
727,31,10,96997.09,2,0,0,76614.04,2,34.8,0.81,0.0,0.02873563218390805,1.1297471264367818,0.1779,False,True,False,False,False,False,False,0.009467639,0,Active
670,38,10,89416.99,1,0,0,144275.39,6,5.1,0.6,0.0,0.19607843137254904,2.6792156862745102,0.4754,False,False,True,False,False,False,False,0.033735987,0,Active
702,30,2,0.0,2,1,1,145537.32,8,17.0,0.93,0.0,0.058823529411764705,3.583764705882353,-0.4585,False,True,True,False,False,False,False,0.0044548507,0,Active
633,42,1,0.0,2,1,0,56865.62,1,37.3,0.58,0.0,0.02680965147453083,0.6373619302949062,-0.5267,False,False,False,False,False,True,False,0.14874603,0,Lead
491,61,8,0.0,2,0,1,139861.53,5,32.6,0.61,0.0,0.03067484662576687,2.250134969325153,-0.1027,False,True,False,True,False,False,False,0.018317368,0,At Risk
617,58,3,119024.75,2,1,0,35199.24,12,23.7,0.91,0.0,0.04219409282700422,5.172438818565402,-0.1027,True,False,False,False,True,False,False,0.9722353,1,Dormant
572,35,1,139979.07,1,1,0,185662.84,13,31.5,0.52,0.0,0.031746031746031744,5.414349206349207,0.4215,True,False,False,False,False,True,False,0.5641904,0,Lead
551,52,1,0.0,1,0,0,63584.55,1,23.5,0.88,0.0,0.0425531914893617,0.7605106382978724,0.4754,False,False,True,True,False,False,False,0.9033476,1,At Risk
471,26,8,0.0,2,1,1,179655.87,14,7.4,0.68,0.0,0.13513513513513511,5.899027027027028,0.5719,False,True,True,False,False,True,False,0.00025951207,0,Lead
466,26,3,156815.71,1,1,1,137476.09,10,33.5,0.54,470447.13,0.029850746268656716,4.221970149253732,0.1779,False,False,True,False,False,False,True,0.07079699,0,New
588,44,8,154409.74,1,1,0,49324.03,2,34.3,0.95,0.0,0.02915451895043732,1.1858309037900876,0.4754,False,False,True,False,False,False,False,0.19188546,1,Active
778,34,7,109564.1,1,0,1,113046.81,7,32.1,0.57,766948.7000000001,0.03115264797507788,3.034230529595016,0.1779,False,False,False,False,False,False,True,0.04836241,0,New
729,34,3,152303.8,1,1,0,12128.69,11,52.9,0.88,0.0,0.01890359168241966,4.755780718336484,-0.4585,False,False,True,False,False,False,True,0.14324331,0,New
776,43,4,0.0,2,0,1,162137.5,7,49.9,0.64,0.0,0.02004008016032064,3.060008016032064,0.0,False,False,False,False,False,False,False,0.05436512,0,Active
664,35,1,115024.5,1,0,1,169665.79,7,36.0,0.74,115024.5,0.027777777777777776,3.1015555555555556,0.4754,False,True,True,False,False,True,False,0.14228351,0,Lead
523,36,8,158351.02,2,1,0,155304.53,1,40.5,0.65,0.0,0.024691358024691357,0.6649382716049383,0.4215,False,False,True,False,False,False,True,0.28961945,0,New
733,39,5,91538.51,1,1,1,93783.0,4,21.5,0.66,457692.55,0.046511627906976744,1.8733023255813954,0.5719,True,False,True,True,False,False,False,0.051227484,0,At Risk
693,30,6,127992.25,1,1,1,50457.2,2,58.8,0.76,767953.5,0.017006802721088437,1.1074013605442177,0.4215,False,False,False,False,False,False,False,0.08685793,0,Active
614,46,4,0.0,1,1,0,74379.57,3,34.3,0.94,0.0,0.02915451895043732,1.5818309037900875,0.5719,False,False,True,False,False,False,True,0.44353062,1,New
775,45,8,0.0,1,1,0,130376.68,10,54.6,0.98,0.0,0.018315018315018316,4.395663003663004,0.1779,False,False,True,False,False,False,False,0.6064119,0,Active
633,43,5,0.0,2,1,1,48249.88,2,36.1,0.56,0.0,0.027700831024930747,1.0295401662049861,0.4215,False,False,True,False,False,False,True,0.016717311,0,New
676,43,2,0.0,1,1,1,55119.53,15,11.8,0.53,0.0,0.0847457627118644,6.228949152542373,-0.4585,False,False,False,False,False,True,False,0.092591405,0,Lead
